"","year","period","periodName","value","seriesID"
"139","2021","M09","September","6.8","JTS000000340000000JOR"
"140","2021","M08","August","7.1","JTS000000340000000JOR"
"141","2021","M07","July","7.0","JTS000000340000000JOR"
"142","2021","M06","June","6.7","JTS000000340000000JOR"
"143","2021","M05","May","6.5","JTS000000340000000JOR"
"144","2021","M04","April","6.5","JTS000000340000000JOR"
"145","2021","M03","March","6.8","JTS000000340000000JOR"
"146","2021","M02","February","5.4","JTS000000340000000JOR"
"147","2021","M01","January","4.7","JTS000000340000000JOR"
"148","2020","M12","December","5.1","JTS000000340000000JOR"
"149","2020","M11","November","5.4","JTS000000340000000JOR"
"150","2020","M10","October","5.2","JTS000000340000000JOR"
"151","2020","M09","September","4.6","JTS000000340000000JOR"
"152","2020","M08","August","4.2","JTS000000340000000JOR"
"153","2020","M07","July","4.8","JTS000000340000000JOR"
"154","2020","M06","June","5.0","JTS000000340000000JOR"
"155","2020","M05","May","4.4","JTS000000340000000JOR"
"156","2020","M04","April","4.0","JTS000000340000000JOR"
"157","2020","M03","March","3.7","JTS000000340000000JOR"
"158","2020","M02","February","4.3","JTS000000340000000JOR"
"159","2020","M01","January","4.4","JTS000000340000000JOR"
"160","2019","M12","December","4.2","JTS000000340000000JOR"
"161","2019","M11","November","4.5","JTS000000340000000JOR"
"162","2019","M10","October","4.2","JTS000000340000000JOR"
"163","2019","M09","September","4.0","JTS000000340000000JOR"
"164","2019","M08","August","4.4","JTS000000340000000JOR"
"165","2019","M07","July","3.9","JTS000000340000000JOR"
"166","2019","M06","June","4.2","JTS000000340000000JOR"
"167","2019","M05","May","4.1","JTS000000340000000JOR"
"168","2019","M04","April","3.9","JTS000000340000000JOR"
"169","2019","M03","March","4.3","JTS000000340000000JOR"
"170","2019","M02","February","3.9","JTS000000340000000JOR"
"171","2019","M01","January","4.4","JTS000000340000000JOR"
"172","2018","M12","December","4.2","JTS000000340000000JOR"
"173","2018","M11","November","4.3","JTS000000340000000JOR"
"174","2018","M10","October","4.2","JTS000000340000000JOR"
"175","2018","M09","September","5.1","JTS000000340000000JOR"
"176","2018","M08","August","4.3","JTS000000340000000JOR"
"177","2018","M07","July","4.5","JTS000000340000000JOR"
"178","2018","M06","June","4.5","JTS000000340000000JOR"
"179","2018","M05","May","4.5","JTS000000340000000JOR"
"180","2018","M04","April","4.4","JTS000000340000000JOR"
"181","2018","M03","March","4.2","JTS000000340000000JOR"
"182","2018","M02","February","3.7","JTS000000340000000JOR"
"183","2018","M01","January","3.9","JTS000000340000000JOR"
