"TableName","SeriesCode","LineNumber","LineDescription","TimePeriod","METRIC_NAME","CL_UNIT","UNIT_MULT","DataValue","NoteRef"
"T10101","A007RL","8","Fixed investment","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",1.5,"T10101"
"T10101","A007RL","8","Fixed investment","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",-1.9,"T10101"
"T10101","A007RL","8","Fixed investment","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",7.1,"T10101"
"T10101","A007RL","8","Fixed investment","2025Q2","Fisher Quantity Index","Percent change, annual rate","0",4.4,"T10101"
"T10101","A008RL","9","Nonresidential","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",12.2,"T10101"
"T10101","A008RL","9","Nonresidential","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",7,"T10101"
"T10101","A008RL","9","Nonresidential","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",6,"T10101"
"T10101","A008RL","9","Nonresidential","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",7.1,"T10101"
"T10101","A008RL","9","Nonresidential","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",8.5,"T10101"
"T10101","A008RL","9","Nonresidential","2023Q2","Fisher Quantity Index","Percent change, annual rate","0",11,"T10101"
"T10101","A008RL","9","Nonresidential","2023Q3","Fisher Quantity Index","Percent change, annual rate","0",1.7,"T10101"
"T10101","A008RL","9","Nonresidential","2023Q4","Fisher Quantity Index","Percent change, annual rate","0",5.5,"T10101"
"T10101","A008RL","9","Nonresidential","2024Q1","Fisher Quantity Index","Percent change, annual rate","0",1.5,"T10101"
"T10101","A008RL","9","Nonresidential","2024Q2","Fisher Quantity Index","Percent change, annual rate","0",2.5,"T10101"
"T10101","A008RL","9","Nonresidential","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",3.5,"T10101"
"T10101","A008RL","9","Nonresidential","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",-3.7,"T10101"
"T10101","A008RL","9","Nonresidential","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",9.5,"T10101"
"T10101","A008RL","9","Nonresidential","2025Q2","Fisher Quantity Index","Percent change, annual rate","0",7.3,"T10101"
"T10101","A009RL","10","Structures","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",7.9,"T10101"
"T10101","A009RL","10","Structures","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",8.9,"T10101"
"T10101","A009RL","10","Structures","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",10.7,"T10101"
"T10101","A009RL","10","Structures","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",11.5,"T10101"
"T10101","A009RL","10","Structures","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",30.5,"T10101"
"T10101","A009RL","10","Structures","2023Q2","Fisher Quantity Index","Percent change, annual rate","0",20.1,"T10101"
"T10101","A009RL","10","Structures","2023Q3","Fisher Quantity Index","Percent change, annual rate","0",6.8,"T10101"
"T10101","A009RL","10","Structures","2023Q4","Fisher Quantity Index","Percent change, annual rate","0",11.3,"T10101"
"T10101","A009RL","10","Structures","2024Q1","Fisher Quantity Index","Percent change, annual rate","0",-5,"T10101"
"T10101","A009RL","10","Structures","2024Q2","Fisher Quantity Index","Percent change, annual rate","0",-3.9,"T10101"
